ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			abacus (subst.) 		abako	Bertin	Vikipedio									abacus																			
			abandon (verbo) 		forlasi											afbreken								abandonner								abbrechen			
			abbreviate (verbo) 		mallongigi											afkorten	100%	Van Dale			inkorten	Van Dale	verbe	abbréger											
			abbreviation (subst.) 		mallongigo	Vikipedio										afkorting	100%	Van Dale	ICT VNU		inkorting	Van Dale	une	abbréviation											
			abend (abnomal ending) (mallon.) 		misfino	PIV2002	KompLeks									afbreken	100%	ICT VNU																	
			ability (subst.) 		eblo	Maŭro				ebleco					de	bekwaamheid	100%	ICT VNU					une	possibilité											
			abnormal end (abnormal ending, abend) (subst.) 		misfino											abend																			
			abort (verbo) 		ĉesigi / cxesigi	KompLeks	OOo	KDE								afbreken	100%	ICT VNU					verbe	annuler											
			about (subst.) 		pri											info over								à propos de 								info			
			about box (subst.) 		pri-dialogujo											dialoogvenster Info over																			
			absolute (adj.) 		absoluta	KompLeks				senkondiĉa	TekVort					absoluut	100%	ICT VNU						absolue											
			absolute address (subst.) 		absoluta adreso	KompLeks	Pekoteko								het	absolute adres	100%	ICT VNU					une	adresse absolue											
			absolute cell reference (subst.) 		absoluta ĉelreferenco / absoluta cxelreferenco											absolute celverwijzing								référence de cellule absolue								absoluter Zellbezug			
			absolute coding (subst.) 		absoluta kodado											absolute codering								codage absolu											
			absolute link (subst.) 		absoluta ligilo											absolute koppeling								lien absolu								absoluter Link			
			absolute path (absolute pathname) (subst.) 		absoluta dosierindiko	KompLeks										absoluut pad								chemin d'accès absolu								absoluter Pfad			
			absolute URL (subst.) 		absoluta URL											absolute URL								URL absolue								absolute URL			
			absolute value (subst.) 		absoluta valoro											absolute waarde								valeur absolue								absoluter Wert			
			abstract (subst.) 		resumo	OOo										abstract							un	résumé											
			abstract (adj.) 		abstrakta	Bertin										abstract																			
			abstract machine (subst.) 		abstrakta maŝino / abstrakta masxino											abstracte machine								machine abstraite								abstrakte Maschine			
			abstract syntax (subst.) 		abstrakta sintakso											abstracte syntaxis								syntaxe abstraite								abstrakte Syntax			
			abstract syntax tree (subst.) 		abstrakta sintaksarbo											abstracte syntaxisstructuur								arborescence de syntaxe abstraite								abstrakte Syntaxstruktur			
			abuse (misuse) (subst.) 		misuzo					fiuzo	Maŭro				het	misbruik	100%	ICT VNU					un	abus											
			abuse (verbo) 		misuzi					fiuzi	Maŭro					misbruiken							verbe	abuser											
			accelerate (verbo) 		plirapidigi											versnellen	100%	ICT VNU					verbe	accélérer											
			acceleration (subst.) 		plirapidigo										de	versnelling	100%	ICT VNU					une	accélération											
			accelerator (card) (subst.) 		plirapidigilo										de	accelerator	100%	ICT VNU					un	accélérateur								Beschleuniger			
			accelerator board (subst.) 		plirapidigilo											versnellingskaart								carte accélératrice								Beschleunigerkarte			
			accelerator card (subst.) 		plirapidigilo											versnellingskaart								carte accélératrice								Beschleunigerkarte			
			accent (subst.) 		kromsigno	Benson				diakrita signo	PIV1	Vikipedio			het	accentteken	100%	ICT VNU					un	accent											
			accent key (subst.) 		kromsigna klavo					senpaŝa klavo	KompLeks				het	accentteken	200%	ICT VNU					une	touche accentuée											
			acceptable use policy (subst.) 		politiko pri akceptebla uzado	Edmundo									de	richtlijnen voor gebruik	100%	ICT VNU						règles de bon usage								Acceptable Use Policy			
			acceptance criteria (subst.) 		kriterioj por akceptado											acceptatiecriteria								critères d'acceptation								Akzeptanzkriterien			
			acceptance testing (subst.) 		testado de akcepteblo											acceptatietest								test d'acceptation								Akzeptanztests			
			access (subst.) 		atingo	KompLeks	ReVo	OOo	Bertin	aliro	Bertin				de	toegang	100%	ICT VNU					un	accès								Zugriff			
			access (database) (verbo) 		atingi	PIV2002		OOo		aliri	KompVort					aanspreken (van databank)	100%	Telenet					verbe	accéder											
			access (disk) (verbo) 		atingi	PIV2002				aliri						toegang verkrijgen	100%	Microsoft					verbe	accéder											
			access code (subst.) 		atingokodo					alirokodo					de	toegangscode	100%	Verklar					un	code d'accès								Zugriffscode			
			access control  (subst.) 		atingokontrolo	KompLeks	TekVort			alirokontrolo		atingo-regado	Maŭro		de	toegangscontrole	100%	ICT VNU					un	contrôle d'accès								Zugriffssteuerung			
			access error (subst.) 		atingeraro	OOo				aliroeraro					de	toegangsfoutmelding							une	erreur d'accès											
			access key (subst.) 		fulmoklavo	Plone				alirklavo	Firefox					toegangstoets							une	touche d'accès rapide								Tastenkombination			
			access level (subst.) 		atingonivelo											toegangsniveau								niveau d'accès								Zugriffsebene			
			access mask (subst.) 		atingomasko											toegangsmasker								masque d'accès								Zugriffsmaske			
			access mechanism (subst.) 		atingomekanismo											toegangsmechanisme								mécanisme d'accès								Zugriffsmechanismus			
			access method  (subst.) 		atingomaniero	KompLeks	TekVort			alirometodo					de	toegangsmethode	100%	ICT VNU					une	méthode d'accès								Zugriffsmethode			
			access number (subst.) 		atingonumero											toegangsnummer								numéro d'accès								Zugriffsnummer			
			access permission  (subst.) 		atingopermeso	TekVort	KDE								het	toegangsrecht	100%						une	permission d'accès								Zugriffsberechtigungen			
			access point (subst.) 		retkaptejo										het	toegangspunt	60%	Verklar					un	point d'accès								Zugriffspunkt			
			access provider (IAP, internet access provider) (subst.) 		provizanto de retkonekto	KompLeks				interretperanto	FEL				de [m]	internetaanbieder	100%	Van Dale	ICT VNU		provider		un	fournisseur d'accès internet	100%	journal officiel						Internetdienstanbieter			
			access rate (subst.) 		atingorapido										de	toegangssnelheid	100%	ICT VNU	Verklar				une	vitesse d'accès											
			access right  (subst.) 		atingorajto	KompLeks	TekVort								het	toegangsrecht	100%						un	droit d'accès											
			access time  (subst.) 		atingotempo	KompLeks	TekVort	KDE							de	toegangstijd (tot geheugen)	100%	Van Dale	ICT VNU				un	temps d'accès											
			access token (subst.) 		atingoĵetono / atingojxetono											toegangstoken								jeton d'accès								Zugriffstoken			
			access violation (subst.) 		atinga malobservo											toegangsfout								violation d'accès								Zugriffsverletzung			
			accessibility (subst.) 		alirebleco	Edmundo	Firefox								de	toegankelijkheid	100%	ICT VNU					une	accessibilité								Eingabehilfen			
			accessibility aids (subst.) 		iloj por alirebleco											toegankelijkheidsfuncties																Eingabehilfen			
			accessibility feature (subst.) 		faciluzilo	KDE																													
			accessibility tool (subst.) 		ilo por alirebleco	KDE																													
			accessibility wizard (subst.) 		asistanto pri alirebleco											wizard Toegankelijkheid								assistant accessibilité								Eingabehilfen-Assistent			
			accessories (subst.) 		akcesoraĵoj / akcesorajxoj	TekVort									de	toebehoren	100%	ICT VNU			accessoire	ICT woordenboek	les	accessoires								Zubehör			
			accordion (GUI) (subst.) 																																
			account (customer) (subst.) 		kliento										de	klant	100%	ICT VNU					un	client								Kunde			
			account (data) (subst.) 		konto	KompLeks	ReVo	FEL							de	aanmeldgegevens	80%						un	compte								Konto			
			account alias (subst.) 		kromnomo de konto											accountalias								alias de compte								Kontokurzbezeichnung			
			account expiration (subst.) 		konta eksvalidiĝo / konta eksvalidigxo											verloopdatum van een account								expiration du compte								Kontoablauf			
			account information (subst.) 		kontaj informoj											accountgegevens								informations sur le compte								Kontoinformationen			
			account lockout (subst.) 		konta ŝloso / konta sxloso											accountvergrendeling								verrouillage de compte								Kontosperrung			
			accumulator (subst.) 		akumulejo	PIV2002	ReVo			akumulatoro	Bertin	KompBaz	akumulilo	Maŭro	de	accumulator	100%	ICT VNU					un	accumulateur											
			accuracy (subst.) 		ekzakto	KDE				ekzakteco	KompLeks	Bertin			de	nauwkeurigheid	100%	ICT VNU																	
			accurate (adj.) 		ekzakta											nauwkeurig	100%	ICT VNU																	
			acknowledge (verbo) 		kvitanci	KompLeks				konfirmi						bevestigen	100%	ICT VNU																	
			acknowledge character (subst.) 		kvitanca signo	KompLeks	Bertin			konfirma signo					het	bevestigingsteken																			
			acknowledgement (subst.) 		konfirmo											bevestiging								accusé de réception								Bestätigung			
			ACL policy (subst.) 		alirkontrollista sekureca strategio	Denizo																													
